feature,importance
ndvi,0.9784769052852561
ndvi_anomaly_roll,0.0033965023243837764
soil_rootzone_moisture_lag2,0.0018573028509680954
t2m_min_rolling90,0.0016795433854277597
soil_rootzone_moisture_lag1,0.001078194796345075
soil_rootzone_moisture,0.0009099015009142369
delta_soil_surface_moisture_10d,0.0007895992366736482
t2m_max_rolling90,0.0006766480723715791
t2m_mean_rolling90,0.0005609735271353036
t2m_mean_anomaly_roll_rolling90,0.000558184850241992
soil_surface_moisture_lag2,0.000547898894039777
delta_soil_surface_moisture_5d,0.0005086361070237847
soil_surface_moisture_anomaly_roll,0.00044568576049959225
t2m_mean_rolling30,0.0004003699606843841
t2m_min_rolling30,0.00039367024264615603
delta_t2m_mean_5d_rolling90,0.0003772360218493129
t2m_max_rolling30,0.0003651903659437082
soil_surface_moisture_lag1,0.0003309292542749347
t2m_mean_anomaly_clim_rolling90,0.000327673441335664
t2m_mean_ratio_clim_rolling90,0.00032226585266293024
soil_surface_moisture,0.0003085217299957742
soil_surface_moisture_anomaly_roll_lag2,0.0003064951147151034
delta_precip_mm_sum_5d,0.000278720087562607
precip_mm_sum_anomaly_roll_rolling90,0.0002755354868793667
precip_mm_sum_ratio_clim,0.0002694439899127132
delta_precip_mm_sum_10d_rolling90,0.00023247138267400033
precip_mm_sum_anomaly_clim,0.00023016143329193507
delta_precip_mm_sum_5d_rolling90,0.00022496021811429538
precip_mm_sum_anomaly_roll,0.0002231372307182846
precip_mm_sum_ratio_clim_rolling90,0.00021950850318439336
delta_t2m_mean_10d_rolling30,0.00018257110664225142
delta_precip_mm_sum_10d_rolling30,0.00017529806231376328
delta_t2m_mean_5d,0.0001682554397506589
precip_mm_sum_rolling90,0.00016099629774276496
delta_t2m_mean_5d_rolling30,0.00015688511991652213
month_cos,0.00014686802413938128
month,0.0001375845163647636
soil_surface_moisture_anomaly_roll_lag1,0.00012951223490851075
month_sin,0.00012590486530954093
t2m_mean,0.0001236688771979491
delta_t2m_mean_10d_rolling90,0.00011236560862847862
precip_mm_sum_ratio_clim_rolling30,0.00011201547548360365
t2m_min,0.00010891608143090885
delta_t2m_mean_10d,0.00010695096676873183
precip_mm_sum_anomaly_clim_rolling90,0.00010434820075635365
precip_mm_sum_anomaly_clim_rolling30,0.0001015268078544464
precip_mm_sum,0.00010064478141817384
delta_soil_surface_moisture_10d_lag1,9.585569115304831e-05
t2m_mean_anomaly_roll_rolling30,9.314384854710046e-05
delta_soil_surface_moisture_5d_lag2,9.312149682908455e-05
precip_mm_sum_rolling30,8.869307295166524e-05
t2m_mean_anomaly_clim_rolling30,8.529396489303975e-05
t2m_mean_ratio_clim_rolling30,8.352924792332714e-05
delta_precip_mm_sum_5d_rolling30,8.072947804914896e-05
delta_soil_surface_moisture_5d_lag1,7.87101233460101e-05
precip_mm_sum_anomaly_roll_rolling30,7.810325988413916e-05
t2m_max,6.855147328900994e-05
t2m_mean_ratio_clim,6.616785033230505e-05
delta_soil_surface_moisture_10d_lag2,6.429328344713789e-05
t2m_mean_anomaly_clim,5.557195263364753e-05
delta_ndvi_10d,5.465756713825247e-05
t2m_mean_anomaly_roll,5.090331302510899e-05
delta_precip_mm_sum_10d,2.5181404921961977e-05
soil_deficit_index,5.111643536781691e-06
delta_ndvi_5d,2.4930589069627314e-06
soil_deficit_index_lag1,2.2683282759396426e-06
soil_deficit_index_lag2,1.0405665632637692e-06
