month,precip_mm_sum,soil_rootzone_moisture,soil_surface_moisture,t2m_max,t2m_mean,t2m_min
2019-01,3.6028,118.1531,22.6828,17.1645,11.6677,7.5774
2019-02,2.7279,108.9378,20.8595,20.2464,15.425,11.9464
2019-03,0.9887,95.0844,16.7038,21.1452,16.1968,12.3161
2019-04,2.1959,61.8766,10.9003,25.1167,19.8867,15.5767
2019-05,7.4598,90.2349,16.5332,28.6129,24.5645,21.1161
2019-06,6.639,100.0738,18.6004,31.3833,27.0267,23.1167
2019-07,1.6349,81.4478,13.5182,32.6161,28.1452,24.3935
2019-08,2.2366,69.019,13.5036,34.1742,29.2484,25.7774
2019-09,5.6858,88.9442,16.7095,32.0767,27.6333,24.2167
2019-10,4.1324,81.8561,15.8507,26.6323,21.8226,17.8806
2019-11,1.9387,101.2648,18.7415,20.5633,15.2333,11.21
2019-12,1.0894,72.1233,13.67,19.7903,13.9806,9.271
2020-01,3.2897,78.1616,16.197,19.5452,14.7452,10.9258
2020-02,1.7238,94.6528,18.3819,19.7207,13.7483,9.3897
2020-03,1.9059,90.1573,16.2595,25.2097,20.6935,17.571
2020-04,3.1726,74.3175,13.5977,26.14,21.08,16.89
2020-05,4.7925,65.949,12.0346,29.129,24.0194,19.8323
2020-06,5.1661,77.1701,14.6521,31.4067,26.8567,23.0367
2020-07,3.9214,87.8944,16.5588,33.1387,28.4677,25.1903
2020-08,1.9666,76.0484,12.7654,34.0935,29.0903,25.0645
2020-09,5.8401,71.6515,13.7672,30.5467,25.9967,22.6167
2020-10,1.2914,68.5441,12.3527,27.1419,21.8613,17.8
2020-11,3.2521,43.3322,8.3256,24.2333,19.26,15.16
2020-12,3.9396,104.813,20.9734,18.2645,13.0226,8.8484
2021-01,1.6621,,,17.371,12.5161,8.6387
2021-02,1.4016,,,16.0571,10.65,6.925
2021-03,1.3821,,,22.3774,17.3355,13.0484
2021-04,2.2966,,,24.7267,19.9467,16.0867
2021-05,9.008,,,27.1065,23.2806,20.2903
2021-06,6.6313,,,30.4767,26.62,23.5467
2021-07,4.8294,,,30.5258,26.7129,23.8871
2021-08,3.2261,,,31.3548,27.4484,24.4839
2021-09,5.1632,,,30.1833,25.5,21.85
2021-10,3.8778,,,27.1645,22.7935,18.9032
2021-11,2.0927,,,22.01,16.6567,12.27
2021-12,1.8482,,,23.7548,19.1806,15.9806
2022-01,2.5425,,,17.2968,11.3677,6.9645
2022-02,1.2179,,,17.4357,10.8179,5.8214
2022-03,1.4601,,,22.0258,16.1484,11.1226
2022-04,1.2725,,,28.1767,22.4033,18.3167
2022-05,2.4614,,,32.5032,26.7452,22.3129
2022-06,1.0109,,,35.03,29.13,24.5067
2022-07,1.537,,,35.2065,29.5129,25.2742
2022-08,5.4843,,,32.871,27.9065,24.6968
2022-09,1.8941,,,31.3267,26.1733,21.84
2022-10,2.2168,,,27.5968,21.7452,16.7806
2022-11,5.7327,,,20.5933,16.0367,12.5733
2022-12,2.443,,,19.0065,14.0581,10.4935
2023-01,3.0694,,,19.6065,14.7871,11.0
2023-02,1.0465,,,20.9964,15.3107,11.3071
2023-03,1.4427,,,24.3355,19.371,15.5323
2023-04,5.0595,,,25.17,20.04,15.9467
2023-05,4.6693,,,28.7613,23.9097,20.0452
2023-06,2.5577,,,34.95,28.87,24.19
2023-07,1.574,,,35.8935,30.1968,25.6452
2023-08,0.3291,,,38.4323,31.971,26.8613
2023-09,2.2269,,,34.5567,28.8467,24.43
2023-10,3.2918,,,27.5,22.3774,18.6645
2023-11,3.1877,,,21.0467,16.39,12.84
2023-12,2.0919,,,19.2903,14.0323,10.0613
2024-01,6.1642,,,16.3581,10.8194,6.4
2024-02,2.6529,,,21.3448,15.8759,11.9207
2024-03,3.0473,,,24.0,18.5484,14.5774
2024-04,2.663,,,26.92,21.89,18.09
2024-05,6.5275,,,29.9355,25.5839,22.3
2024-06,3.5071,,,32.2433,27.81,24.0333
2024-07,8.1845,,,31.4484,27.2419,24.1484
2024-08,1.5686,,,32.8419,28.4968,24.6839
2024-09,1.9142,,,31.1933,26.4333,22.4367
2024-10,1.1105,,,30.3613,24.1548,19.1323
2024-11,2.747,,,24.9167,19.88,15.89
2024-12,2.9077,,,20.2645,15.6935,12.0161
2025-01,2.8288,,,14.0806,9.5774,6.2065
2025-02,2.0822,,,19.8857,14.6571,10.8643
2025-03,1.6264,,,25.6065,19.6903,15.1194
2025-04,1.9959,,,27.8433,22.6433,18.8033
2025-05,4.7704,,,30.0258,25.1226,21.5839
2025-06,5.4136,,,31.4833,27.3933,24.2767
2025-07,2.9271,,,33.6129,28.5903,25.0323
2025-08,3.803,,,33.6548,28.6677,25.1258
2025-09,1.3646,,,31.94,26.8433,22.9
2025-10,,,,30.69,24.94,20.31
